country,date,yearly_cases,yearly_deaths,yearly_cases_per_million,yearly_deaths_per_million,Region,IncomeGroup,date_health,health_percentage_gdp
Costa Rica,2022,595882.0,1731.0,117260.01950129039,340.6330343201064,Latin America & Caribbean,High income,2022,7.18368196
Croatia,2019,,,,,Europe & Central Asia,High income,2019,6.7431674
Croatia,2020,208446.0,3860.0,53352.09629515115,987.9733441720324,Europe & Central Asia,High income,2020,7.64949179
Croatia,2021,501232.0,8633.0,128291.15420881765,2209.6305389215427,Europe & Central Asia,High income,2021,8.01351929
Croatia,2022,553839.0,5090.0,141756.0023219933,1302.7938657605291,Europe & Central Asia,High income,2022,7.21545315
Cuba,2019,,,,,Latin America & Caribbean,Upper middle income,2019,11.08501148
Cuba,2020,11687.0,145.0,1056.7125615247764,13.110577686411618,Latin America & Caribbean,Upper middle income,2020,12.48641968
Cuba,2021,953884.0,8177.0,86248.07093672454,739.3461637364676,Latin America & Caribbean,Upper middle income,2021,13.78727913
Cuba,2022,146401.0,208.0,13237.2529921955,18.80689764671456,Latin America & Caribbean,Upper middle income,2022,11.78683186
Curacao,2019,,,,,,,2019,
Curacao,2020,4179.0,14.0,22552.008850273876,75.55111842637814,,,2020,
Curacao,2021,16020.0,173.0,86452.06551361267,933.5959634116726,,,2021,
Curacao,2022,25521.0,112.0,137724.29238282834,604.4089474110251,,,2022,
Cyprus,2019,,,,,Europe & Central Asia,High income,2019,7.06576538
Cyprus,2020,22347.0,122.0,23765.21284153121,129.7425142823112,Europe & Central Asia,High income,2020,8.76033878
Cyprus,2021,139432.0,524.0,148280.8053394362,557.2547334748449,Europe & Central Asia,High income,2021,9.47552109
Cyprus,2022,469332.0,612.0,499117.3255175875,650.8394978752004,Europe & Central Asia,High income,2022,8.87060547
Czechia,2019,,,,,Europe & Central Asia,High income,2019,7.61342955
Czechia,2020,723577.0,11888.0,67794.01694098538,1113.8210216665734,Europe & Central Asia,High income,2020,9.15721989
Czechia,2021,1793803.0,24444.0,168066.5789139102,2290.22889078211,Europe & Central Asia,High income,2021,9.45247459
Czechia,2022,2062755.0,5820.0,193265.4678287208,545.2925930433594,Europe & Central Asia,High income,2022,8.79904652
Democratic Republic of Congo,2019,,,,,,,2019,
Democratic Republic of Congo,2020,17657.0,591.0,172.43682888544723,5.771658032015592,,,2020,
Democratic Republic of Congo,2021,61616.0,634.0,601.7368549926781,6.1915925419591975,,,2021,
Democratic Republic of Congo,2022,15899.0,237.0,155.26834357193889,2.3145227641077746,,,2022,
Denmark,2019,,,,,Europe & Central Asia,High income,2019,10.1524353
Denmark,2020,161230.0,1256.0,27313.943138614828,212.77871724927263,Europe & Central Asia,High income,2020,10.71854591
Denmark,2021,622472.0,2000.0,105452.86121304877,338.8196134542558,Europe & Central Asia,High income,2021,10.74728584
Denmark,2022,2604737.0,4526.0,441267.99174499896,766.7487852469809,Europe & Central Asia,High income,2022,9.4758625
Djibouti,2019,,,,,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2019,2.40641236
Djibouti,2020,5824.0,61.0,5122.017286808343,53.64750248889233,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2020,2.32228446
Djibouti,2021,7808.0,128.0,6866.880318578218,112.57180850128226,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2021,2.88669515
Djibouti,2022,2058.0,0.0,1809.943608559679,0.0,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2022,2.49675012
Dominica,2019,,,,,Latin America & Caribbean,Upper middle income,2019,5.16903925
Dominica,2020,96.0,0.0,1437.1042349665424,0.0,Latin America & Caribbean,Upper middle income,2020,6.12651205
Dominica,2021,6718.0,47.0,100567.35677609619,703.5822817023698,Latin America & Caribbean,Upper middle income,2021,6.31661367
Dominica,2022,8946.0,27.0,133920.15089594462,404.18556608434005,Latin America & Caribbean,Upper middle income,2022,6.31969738
Dominican Republic,2019,,,,,Latin America & Caribbean,Upper middle income,2019,4.23948717
Dominican Republic,2020,169579.0,2409.0,15099.611902603276,214.50158966246585,Latin America & Caribbean,Upper middle income,2020,4.93967104
Dominican Republic,2021,247689.0,1837.0,22054.663446204446,163.56970535904935,Latin America & Caribbean,Upper middle income,2021,4.91807747
Dominican Republic,2022,241741.0,138.0,21525.04308285353,12.287762296978087,Latin America & Caribbean,Upper middle income,2022,4.57254791
East Timor,2019,,,,,,,2019,
East Timor,2020,44.0,0.0,32.13438013511046,0.0,,,2020,
East Timor,2021,19793.0,122.0,14455.358773050939,89.09987219280627,,,2021,
East Timor,2022,3560.0,16.0,2599.9634836589394,11.685229140040164,,,2022,
Ecuador,2019,,,,,Latin America & Caribbean,Upper middle income,2019,7.80768251
Ecuador,2020,211512.0,14023.0,11866.791794839915,786.7545167131896,Latin America & Caribbean,Upper middle income,2020,8.6576252
Ecuador,2021,334288.0,19646.0,18755.087633389336,1102.2305665939757,Latin America & Caribbean,Upper middle income,2021,8.20646191
Ecuador,2022,498949.0,2279.0,27993.32377947153,127.86233641798162,Latin America & Caribbean,Upper middle income,2022,7.53457022
Egypt,2019,,,,,,,2019,
Egypt,2020,136644.0,7576.0,1213.3386159612528,67.27154763123482,,,2020,
Egypt,2021,248084.0,14151.0,2202.8767981186984,125.65465556092977,,,2021,
Egypt,2022,130805.0,3075.0,1161.490864295627,27.3046474348003,,,2022,
El Salvador,2019,,,,,Latin America & Caribbean,Upper middle income,2019,8.80846119
